Época 231: d_loss = 0.2926, g_loss = 0.2176
Época 232: d_loss = 0.3041, g_loss = 0.2218
Época 233: d_loss = 0.3025, g_loss = 0.2195
Época 234: d_loss = 0.2991, g_loss = 0.2381
Época 235: d_loss = 0.2954, g_loss = 0.2372
Época 236: d_loss = 0.2866, g_loss = 0.2202
Época 237: d_loss = 0.2983, g_loss = 0.2309
Época 238: d_loss = 0.2954, g_loss = 0.2268
Época 239: d_loss = 0.3075, g_loss = 0.2285
Época 240: d_loss = 0.2807, g_loss = 0.2314
Época 241: d_loss = 0.2971, g_loss = 0.2385
Época 242: d_loss = 0.3123, g_loss = 0.2226
Época 243: d_loss = 0.2761, g_loss = 0.2413
Época 244: d_loss = 0.2998, g_loss = 0.2257
Época 245: d_loss = 0.2904, g_loss = 0.2210
Época 246: d_loss = 0.2909, g_loss = 0.2337
Época 247: d_loss = 0.2926, g_loss = 0.2216
Época 248: d_loss = 0.3078, g_loss = 0.2307
Época 249: d_loss = 0.3338, g_loss = 0.2350
Época 250: d_loss = 0.2910, g_loss = 0.2296
Época 251: d_loss = 0.2759, g_loss = 0.2388
Época 252: d_loss = 0.2965, g_loss = 0.2264
Época 253: d_loss = 0.2948, g_loss = 0.2308
Época 254: d_loss = 0.3071, g_loss = 0.2327
Época 255: d_loss = 0.2880, g_loss = 0.2337
Época 256: d_loss = 0.2859, g_loss = 0.2246
Época 257: d_loss = 0.2925, g_loss = 0.2246
Época 258: d_loss = 0.2953, g_loss = 0.2334
Época 259: d_loss = 0.2979, g_loss = 0.2353
Época 260: d_loss = 0.2886, g_loss = 0.2224
Época 261: d_loss = 0.2934, g_loss = 0.2289
Época 262: d_loss = 0.2862, g_loss = 0.2257
Época 263: d_loss = 0.3070, g_loss = 0.2355
Época 264: d_loss = 0.2771, g_loss = 0.2237
Época 265: d_loss = 0.2914, g_loss = 0.2357
Época 266: d_loss = 0.3099, g_loss = 0.2336
Época 267: d_loss = 0.2726, g_loss = 0.2411
Época 268: d_loss = 0.2939, g_loss = 0.2294
Época 269: d_loss = 0.2797, g_loss = 0.2204
Época 270: d_loss = 0.2780, g_loss = 0.2332
Época 271: d_loss = 0.2973, g_loss = 0.2362
Época 272: d_loss = 0.2718, g_loss = 0.2405
Época 273: d_loss = 0.2877, g_loss = 0.2350
Época 274: d_loss = 0.2845, g_loss = 0.2297
Época 275: d_loss = 0.2987, g_loss = 0.2283
Época 276: d_loss = 0.2934, g_loss = 0.2270
Época 277: d_loss = 0.2695, g_loss = 0.2346
Época 278: d_loss = 0.2939, g_loss = 0.2380
Época 279: d_loss = 0.2818, g_loss = 0.2315
Época 280: d_loss = 0.2997, g_loss = 0.2410
Época 281: d_loss = 0.2985, g_loss = 0.2383
Época 282: d_loss = 0.2597, g_loss = 0.2247
Época 283: d_loss = 0.2681, g_loss = 0.2291
Época 284: d_loss = 0.2771, g_loss = 0.2316
Época 285: d_loss = 0.2948, g_loss = 0.2327
Época 286: d_loss = 0.2848, g_loss = 0.2288
Época 287: d_loss = 0.3002, g_loss = 0.2381
Época 288: d_loss = 0.2781, g_loss = 0.2286
Época 289: d_loss = 0.2825, g_loss = 0.2374
Época 290: d_loss = 0.2914, g_loss = 0.2332
Época 291: d_loss = 0.2704, g_loss = 0.2353
Época 292: d_loss = 0.2904, g_loss = 0.2268
Época 293: d_loss = 0.2804, g_loss = 0.2356
Época 294: d_loss = 0.2927, g_loss = 0.2260
Época 295: d_loss = 0.2802, g_loss = 0.2377
